"filename", "language", "JSON with Comments", "JavaScript", "TypeScript", "JSON", "HTML", "TypeScript JSX", "CSS", "SCSS", "comment", "blank", "total"
"c:\Users\Fernando\Documents\GitHub\App-Restaurante-React-ts\build\asset-manifest.json", "JSON", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 17
"c:\Users\Fernando\Documents\GitHub\App-Restaurante-React-ts\build\bootstrap.bundle.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 6, 0, 7
"c:\Users\Fernando\Documents\GitHub\App-Restaurante-React-ts\build\bootstrap.min.css", "CSS", 0, 0, 0, 0, 0, 0, 2, 0, 5, 0, 7
"c:\Users\Fernando\Documents\GitHub\App-Restaurante-React-ts\build\index.html", "HTML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Fernando\Documents\GitHub\App-Restaurante-React-ts\build\manifest.json", "JSON", 0, 0, 0, 25, 0, 0, 0, 0, 0, 1, 26
"c:\Users\Fernando\Documents\GitHub\App-Restaurante-React-ts\build\static\css\main.4fe798e3.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 2
"c:\Users\Fernando\Documents\GitHub\App-Restaurante-React-ts\build\static\js\787.3d8f698d.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"c:\Users\Fernando\Documents\GitHub\App-Restaurante-React-ts\build\static\js\main.4bc172cb.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 3
"c:\Users\Fernando\Documents\GitHub\App-Restaurante-React-ts\gulpfile.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\Fernando\Documents\GitHub\App-Restaurante-React-ts\package-lock.json", "JSON", 0, 0, 0, 36833, 0, 0, 0, 0, 0, 1, 36834
"c:\Users\Fernando\Documents\GitHub\App-Restaurante-React-ts\package.json", "JSON", 0, 0, 0, 54, 0, 0, 0, 0, 0, 1, 55
"c:\Users\Fernando\Documents\GitHub\App-Restaurante-React-ts\public\bootstrap.bundle.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 6, 0, 7
"c:\Users\Fernando\Documents\GitHub\App-Restaurante-React-ts\public\bootstrap.min.css", "CSS", 0, 0, 0, 0, 0, 0, 2, 0, 5, 0, 7
"c:\Users\Fernando\Documents\GitHub\App-Restaurante-React-ts\public\index.html", "HTML", 0, 0, 0, 0, 25, 0, 0, 0, 1, 4, 30
"c:\Users\Fernando\Documents\GitHub\App-Restaurante-React-ts\public\manifest.json", "JSON", 0, 0, 0, 25, 0, 0, 0, 0, 0, 1, 26
"c:\Users\Fernando\Documents\GitHub\App-Restaurante-React-ts\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 24, 0, 0, 1, 5, 30
"c:\Users\Fernando\Documents\GitHub\App-Restaurante-React-ts\src\Components\admin.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 84, 0, 0, 0, 8, 92
